date,count
2017-05-03,1282173
2017-05-04,1239754
2017-05-05,1190811
2017-05-06,636798
2017-05-07,684367
2017-05-08,1250411
2017-05-09,1245132
2017-05-10,1283241
2017-05-11,1233504
2017-05-12,1096072
2017-05-13,564145
2017-05-14,582897
2017-05-15,1198019
2017-05-16,1270556
2017-05-17,1307225
2017-05-18,1281064
2017-05-19,1089220
2017-05-20,569041
2017-05-21,586018
2017-05-22,1240592
2017-05-23,1320961
2017-05-24,1250824
2017-05-25,1136443
2017-05-26,1079423
2017-05-27,589298
2017-05-28,539231
2017-05-29,936285
2017-05-30,1196161
2017-05-31,1270236
2017-06-01,1244845
2017-06-02,1071050
2017-06-03,574305
2017-06-04,538647
2017-06-05,1280244
2017-06-06,1237767
2017-06-07,1235730
2017-06-08,1242302
2017-06-09,1124935
2017-06-10,606833
2017-06-11,597419
2017-06-12,1227922
2017-06-13,1284483
2017-06-14,1263482
2017-06-15,1149881
2017-06-16,1051619
2017-06-17,509736
2017-06-18,522515
2017-06-19,1189264
2017-06-20,1286459
2017-06-21,1205105
2017-06-22,1206020
2017-06-23,1016759
2017-06-24,532005
2017-06-25,526286
2017-06-26,1099522
2017-06-27,1189291
2017-06-28,1126778
2017-06-29,1102955
2017-06-30,970138
2017-07-01,534030
2017-07-02,477708
2017-07-03,1048446
2017-07-04,1030997
2017-07-05,1132157
2017-07-06,1132486
2017-07-07,1032892
2017-07-08,549370
2017-07-09,509296
2017-07-10,1192299
2017-07-11,1233790
2017-07-12,1156367
2017-07-13,1098901
2017-07-14,900500
2017-07-15,418943
2017-07-16,0
2017-07-17,1007509
2017-07-18,1170624
2017-07-19,1577382
2017-07-20,1419572
2017-07-21,1003281
2017-07-22,536582
2017-07-23,518465
2017-07-24,1069438
2017-07-25,1145264
2017-07-26,1080104
2017-07-27,1050019
2017-07-28,943478
2017-07-29,508904
2017-07-30,500015
2017-07-31,1017059
2017-08-01,1040571
2017-08-02,1043080
2017-08-03,1030265
2017-08-04,954743
2017-08-05,500636
2017-08-06,498240
2017-08-07,1026208
2017-08-08,1027929
2017-08-09,1016492
2017-08-10,1023283
2017-08-11,928713
2017-08-12,467328
2017-08-13,478608
2017-08-14,987308
2017-08-15,970680
2017-08-16,1094678
2017-08-17,1080760
2017-08-18,983611
2017-08-19,561186
2017-08-20,537671
2017-08-21,1003647
2017-08-22,1118447
2017-08-23,1180618
2017-08-24,1141844
2017-08-25,1035786
2017-08-26,569546
2017-08-27,553925
2017-08-28,1131693
2017-08-29,1317996
2017-08-30,1288022
2017-08-31,1271768
2017-09-01,0
2017-09-02,0
2017-09-03,578851
2017-09-04,1005664
2017-09-05,1338007
2017-09-06,1417121
2017-09-07,1431840
2017-09-08,1245990
2017-09-09,638470
2017-09-10,706232
2017-09-11,1443188
2017-09-12,1489498
2017-09-13,1530387
2017-09-14,1495770
2017-09-15,1260108
2017-09-16,723890
2017-09-17,691323
2017-09-18,1392899
2017-09-19,1576553
2017-09-20,1663170
2017-09-21,1445579
2017-09-22,1353653
2017-09-23,688831
2017-09-24,685884
2017-09-25,1494037
2017-09-26,1600931
2017-09-27,1563664
2017-09-28,1434851
2017-09-29,1234077
2017-09-30,655909
2017-10-01,624180
2017-10-02,1352787
2017-10-03,1402213
2017-10-04,1480703
2017-10-05,1409058
2017-10-06,1293651
2017-10-07,663230
2017-10-08,705954
2017-10-09,1288190
2017-10-10,1612428
2017-10-11,1643900
